EF_measure,Units.used.for.EF,EF_type,Organic matter,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3,Temp,Precip,CWD
Soil organic matter,grams per kg of soil,Soil carbon,y,14.8191,0.9841,10,10.1013,0.521,10,SE,Retama raetam,Haloxylon persicum,Noumi (2015),Noumi (2015)a,2015,9.011666667,33.66555556,Observational,Desert,Terrestrial,3,4.75,1,1,1,1,276,806.5126669,-1114.611882
Soil organic carbon,grams per kg of soil,Soil carbon,y,22.08,0.66,4,26.92,0.67,4,SE,Cynodon dactylon,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)a,2014,24.8,113.6,Observational,Grassland,Terrestrial,0.155,1,0,0,0,1,207.02,1518.99,-162.1745781
Soil organic carbon,grams per kg of soil,Soil carbon,y,21.83,0.54,4,22.65,0.74,4,SE,Toxicodendron vernicifluu,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)b,2014,24.8,113.6,Observational,Grassland,Terrestrial,20,1,1,0,1,1,207.02,1518.99,-162.1745781
Soil organic content,,Soil carbon,y,0.193,0.041012193,18,0.288,0.056568542,18,SD,Prosopis cineraria,Prosopis juliflora,Sharma et al (1998),Sharma et al (1998)a,1998,27.5,76,Observational,Mixed,Terrestrial,4,12,1,1,1,1,246.25,559,-1187.562531
Soil organic matter,%,Soil carbon,y,5.559,0.709,3,4.781,0.5798,3,SE,Quercus alba,Microstegium vimineum,"Tekiela and
 
Barney (2015)","Tekiela and 
Barney (2015)a",2015,37.281008,-80.475236,Observational,Forest,Terrestrial,27,0.7,1,0,1,0,109.4707505,988.0633469,-182.9042191
Soil organic matter content,%,Soil carbon,y,1.2402,0.1168,3,1.5322,0.1015,3,SE,Acrachne racemosa,Parthenium hysterophorus,"Timsina and 
Shrestha (2011)","Timsina and
 
Shrestha (2011)a",2011,28.125761,84.717856,Observational,Grassland,Terrestrial,0.45,0.6,0,0,1,1,175.2302143,1920.039591,-266.640277
Total organic carbon,grams per kg of soil,Soil carbon,y,22.062,2.004,3,19.3,1.176,3,SE,Phragmites australis,Spartina alterniflora,Tong et al. (2012),Tong et al. (2012)a,2012,26.01,119.57,Observational,Coastal marsh,Aquatic,2,1.35,0,0,1,0,193.6016,1378.0416,-122.8901304
Total organic carbon,grams per kg of soil,Soil carbon,y,19.714,0.702,3,19.3,1.176,3,SE,Cyperus malaccensis,Spartina alterniflora,Tong et al. (2012),Tong et al. (2012)a,2012,26.01,119.57,Observational,Coastal marsh,Aquatic,1,1.35,0,0,0,0,193.6016,1378.0416,-122.8901304
Soil Organic matter,percentage soil organic matter,Soil carbon,y,3.7,0.491934955,20,5.15,0.424852916,20,SE,Pinus rigida,Robinia pseudoacacia,Von Holle et al (2006),Holle et al (2006)a,2006,41.935998,-70.044708,Observational,Forest,Terrestrial,18,25,1,1,1,1,95,1120.48147,-163.6608096
Soil organic matter,percentage organic matter,Soil carbon,y,83.65,3.630812581,9,79.11666667,3.708341948,9,SE,Spartina patens,Phragmites australis,Windham et al (2003),Windham et al (2003)a,2003,39.576619,-74.331007,Observational,Coastal marsh,Aquatic,0.45,2,0,0,0,1,119.1001527,1112.808357,-196.1563285
Soil organic matter content,percentage organic matter,Soil carbon,y,0.8,0.02,12,2.5,0.34,12,SE,Protea scolymocephela,Acacia saligna,Yelenik et al (2007),Yelenik et al (2007)a,2007,-33.497101,18.589897,Observational,Scrub,Terrestrial,1,4,1,1,1,1,168.107588,482.0449458,-1013.429184
Soil organic matter content,percentage organic matter,Soil carbon,y,1.4,0.28,12,1.1,0.29,12,SE,Cynodon dactylon,Lupinus luteus,Yelenik et al (2007),Yelenik et al (2007)b,2007,-33.497101,18.589897,Observational,Grassland,Terrestrial,0.155,1.5,0,0,0,1,168.107588,482.0449458,-1013.429184
