ES_UI,SE_UI,SS_UI,ES_I,SE_I,SS_I,Service,Serv_type,Level of organisation,Rel_ES,Final_service,UI_Rich,I_Rich,Lat,Long,Ecosystem,IS_LF,NS_LF,SiteID,StudyID
3.3862,0.2302,6,2.8806,0.4143,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,25.39833333,-110.7033333,Grassland,Forb,Grass,Hook et al (2004)b,Hook et al (2004)
0.2257,0.0197,6,0.2011,0.0312,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,25.39833333,-110.7033333,Grassland,Forb,Grass,Hook et al (2004)b,Hook et al (2004)
10.3566,2.5766,6,9.6665,1.8409,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,46.55,-111.7616667,Grassland,Forb,Grass,Hook et al (2004)c,Hook et al (2004)
0.398,0.0753,6,0.3931,0.0589,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,46.55,-111.7616667,Grassland,Forb,Grass,Hook et al (2004)c,Hook et al (2004)
4.7496,0.276,6,5.0721,0.276,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,45.595,-111.09,Grassland,Forb,Grass,Hook et al (2004)d,Hook et al (2004)
3.9707,0.3221,6,3.8791,0.3221,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,45.77833333,-111.26,Grassland,Forb,Grass,Hook et al (2004)e,Hook et al (2004)
0.3242,0.0213,6,0.3225,0.0212,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,45.77833333,-111.26,Grassland,Forb,Grass,Hook et al (2004)e,Hook et al (2004)
3.4289,0.2759,6,3.3832,0.3681,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,45.59833333,-111.195,Grassland,Forb,Grass,Hook et al (2004)f,Hook et al (2004)
0.2454,0.0097,6,0.2438,0.0082,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,45.59833333,-111.195,Grassland,Forb,Grass,Hook et al (2004)f,Hook et al (2004)
7.7831,0.5982,6,6.8171,0.7363,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,45.665,-110.6916667,Grassland,Forb,Grass,Hook et al (2004)g,Hook et al (2004)
0.3455,0.0131,6,0.3161,0.0229,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,45.665,-110.6916667,Grassland,Forb,Grass,Hook et al (2004)g,Hook et al (2004)
3.9741,0.3221,6,3.7445,0.5523,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,45.66,-110.665,Grassland,Forb,Grass,Hook et al (2004)h,Hook et al (2004)
4.1157,0.368,6,3.2417,0.368,6,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,45.64333333,-110.9216667,Grassland,Forb,Grass,Hook et al (2004)i,Hook et al (2004)
0.2668,0.0196,6,0.2111,0.0147,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,45.64333333,-110.9216667,Grassland,Forb,Grass,Hook et al (2004)i,Hook et al (2004)
