ES_UI,SE_UI,SS_UI,ES_I,SE_I,SS_I,Service,Serv_type,Level of organisation,Rel_ES,Final_service,UI_Rich,I_Rich,Lat,Long,Ecosystem,IS_LF,NS_LF,SiteID,StudyID
248,19.91230775,5,160,13.60147051,5,Yes,Aboveground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)c,Ogle et al (2003)
380,19.14418972,5,222,16.1245155,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)c,Ogle et al (2003)
392.5,39.19502519,5,320.5,38.26878624,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)c,Ogle et al (2003)
169.5,12.3794184,5,192,12.5,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)c,Ogle et al (2003)
20.75,1.171537451,5,20.8,0.992471662,5,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)d,Ogle et al (2003)
161,9.708243919,5,139.5,11.23610253,5,Yes,Aboveground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)d,Ogle et al (2003)
390,15.91383046,5,204.5,17.06604817,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)d,Ogle et al (2003)
240,21.63330765,5,421.5,44.68780594,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)d,Ogle et al (2003)
200,15.11621646,5,155.5,12.09338662,5,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,43.58333333,-102.6333333,Grassland,Grass,Grass,Ogle et al (2003)d,Ogle et al (2003)
138.55185,17.95442432,7,208.7871,14.492593,7,Yes,Aboveground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,33.38,-117.5,Grassland,Forb,Grass,Potts et al (2008)a,Potts et al (2008)
159.8667,51.0204,7,286.0579,40.8121,7,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,33.38,-117.5,Grassland,Forb,Grass,Potts et al (2008)a,Potts et al (2008)
1.822433333,0.097985968,7,2.302966667,0.21154662,7,Yes,Evapotranspiration,Intermediate Service,Positively,Water provision,-9999,-9999,33.38,-117.5,Grassland,Forb,Grass,Potts et al (2008)a,Potts et al (2008)
14.82363333,1.099866769,7,17.06303333,1.119307906,7,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,33.38,-117.5,Grassland,Forb,Grass,Potts et al (2008)a,Potts et al (2008)
3.63,0.21,10,3.36,0.091,10,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,-9999,-9999,39.098744,-96.606152,Grassland,Grass,Grass,Reed et al (2005)a,Reed et al (2005)
0.172,0.021077239,10,0.1312,0.018668155,10,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,39.098744,-96.606152,Grassland,Grass,Grass,Reed et al (2005)a,Reed et al (2005)
0.0914,0.017088007,10,0.04575,0.010793517,10,Yes,Maintenance of water quality,Intermediate Service,Positively,Maintenance of water quality,-9999,-9999,39.098744,-96.606152,Grassland,Grass,Grass,Reed et al (2005)a,Reed et al (2005)
23.5,3.331741286,20,89,26.67629097,20,Yes,Maintenance of water quality,Intermediate Service,Negatively,,,,41.935998,-70.044708,Forest,Tree,NA,Holle et al (2006)a,Von Holle et al (2006)
0.14,0.02236068,20,0.27,0.02236068,20,Yes,Maintenance of water quality,Intermediate Service,Negatively,,,,41.935998,-70.044708,Forest,Tree,NA,Holle et al (2006)a,Von Holle et al (2006)
3.5834,1.9668,27,4.1542,2.2772,27,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,29.01433,25.04595,42.073762,9.014282,Mixed,Tree,NA,Vila et al (2006)a,Vila et al (2006)
0.2833,0.0378,27,0.3248,0.0314,27,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,29.01433,25.04595,42.073762,9.014282,Mixed,Tree,NA,Vila et al (2006)a,Vila et al (2006)
6.1817,1.1387,12,6.6491,1.0349,12,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,26.59856,13.33084,35.209722,24.829102,Mixed,Tree,NA,Vila et al (2006)b,Vila et al (2006)
0.4375,0.0565,12,0.5574,0.0974,12,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,26.59856,13.33084,35.209722,24.829102,Mixed,Tree,NA,Vila et al (2006)b,Vila et al (2006)
10.7725,0.8799,23,12.1196,0.9317,23,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,15.41394,12.50652,39.696621,3.02948,Mixed,Tree,NA,Vila et al (2006)c,Vila et al (2006)
0.3479,0.0722,23,0.4174,0.0598,23,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,15.41394,12.50652,39.696621,3.02948,Mixed,Tree,NA,Vila et al (2006)c,Vila et al (2006)
3.4697,1.2422,19,3.7816,0.9314,19,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,15.36163,10.59548,39.943436,4.11438,Mixed,Tree,NA,Vila et al (2006)d,Vila et al (2006)
0.2394,0.0346,19,0.2525,0.0282,19,Yes,Maintenance of water quality,Intermediate Service,,,15.36163,10.59548,39.943436,4.11438,Mixed,Tree,NA,Vila et al (2006)d,Vila et al (2006)
2.2429,0.9834,25,2.5032,0.6211,25,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,9.011,9.82266,40.010787,9.173584,Mixed,Tree,NA,Vila et al (2006)e,Vila et al (2006)
0.1781,0.0219,25,0.188,0.0189,25,Yes,Maintenance of water quality,Intermediate Service,Positively,Maintenance of water quality,9.011,9.82266,40.010787,9.173584,Mixed,Tree,NA,Vila et al (2006)e,Vila et al (2006)
7.8712,0.9353,13,7.9361,1.0024,13,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,15.96071,8.857,43.013308,6.363058,Mixed,Forb,NA,Vila et al (2006)f,Vila et al (2006)
0.04,0.005,4,0.06,0.02,4,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,23.16666667,112.1666667,Forest,Forb,NA,Chen et al 2009a,Chen et al 2009
3.1,2.3,10,5.7,2.1,10,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,19.733421,-155.090389,Forest,Shrub,Tree,Kurten et al (2008)a,Kurten et al (2008)
1.8468,1.555684856,9,3.0593,2.602428109,9,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,1,1,40.958382,-74.746874,Forest,Shrub,Shrub,Ehrenfeld et al (2001)c,Ehrenfeld et al (2001)
8.6505,1.1542,15,6.8956,0.2992,15,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2004)a,Heneghan et al (2004)
6.4541,5.999233939,9,3.4588,3.336087401,9,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,1,1,40.764845,-74.531681,Forest,Shrub,Shrub,Ehrenfeld et al (2001)a,Ehrenfeld et al (2001)
0.068,0.0026,71,0.036,0.0045,71,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,40.35,-105.5841064,Grassland,Forb,Grass,Wolf et al (2004)a,Wolf et al (2004)
4.65185,3.933139291,9,11.3106,10.3132729,9,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,1,1,41.0005,-75.090315,Forest,Shrub,Shrub,Ehrenfeld et al (2001)b,Ehrenfeld et al (2001)
-1.421,0.087322487,4,-1.241166667,0.090121724,4,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Castro Diez et al 2009a,Castro Diez et al 2009
0.0537,0.0507,15,0.0173,0.0668,15,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
0.7,0.3,10,1.4,0.5,10,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,19.733421,-155.090389,Forest,Shrub,Tree,Kurten et al (2008)a,Kurten et al (2008)
0.2547,0.1002,15,0.0113,0.0187,15,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,41.81457,-88.055935,Forest,Shrub,Tree,Heneghan et al (2006)b,Heneghan et al (2006)
-0.0322,0.0312,6,-0.0415,0.0218,6,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,37.72218889,-89.30602778,Grassland,Shrub,Tree,Goldstein et al (2006)a,Goldstein et al (2006)
8.4732,8.568468657,9,11.325,11.24448299,9,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,1,1,40.958382,-74.746874,Forest,Shrub,Shrub,Ehrenfeld et al (2001)c,Ehrenfeld et al (2001)
0.2547,0.1002,15,0.0113,0.0187,15,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,41.81457,-88.055935,Forest,Shrub,Tree,Heneghan et al (2006)b,Heneghan et al (2006)
-1.401766667,0.115679539,4,-1.092066667,0.054200089,4,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Casto Diez et al 2009b,Castro Diez et al 2009
3.6418,2.3211,50,8.63525,4.5266,50,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,21.125,-156.9583333,Scrub,Grass,Shrub,Asner et al (1996)a,Asner at al (1996)
0.0537,0.0507,15,0.0173,0.0668,15,Yes,Maintenance of water quality,Intermediate Service,Negatively,Maintenance of water quality,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
35.087,0.440927352,6,32.0948,0.703469978,6,Yes,Carbon sequestration,Intermediate Service,Positively,Climate regulation,1,1,31.877558,-110.882263,Desert,Grass,Grass,Ignace et al (2007)a,Ignace et al (2007)
89.4781,6.3473,5,91.7604,5.0762,5,Yes,Carbon sequestration,Intermediate Service,Negatively,Climate regulation,3,1,-44.649116,170.403442,Grassland,Forb,Grass,Scott et al (2001)a,Scott et al (2001)
0.56,0.670820393,5,2.39,1.587608264,5,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,9,1,50.895427,4.416804,Grassland,Shrub,Grass,Vanderhoeven et al (2005)e,Vanderhoeven et al (2005)
64.5,4.82,24,71.59,4.82,24,Yes,Aboveground carbon storage,Positive,Carbon storage,Intermediate Service,5.56,4.08,50.75579,-120.465775,Grassland,Forb,Grass,Fraser et al (2011)a,Fraser et al (2011)
0.39,0.335410197,5,1.65,1.788854382,5,Yes,Aboveground carbon storage,Intermediate Service,Positively,Climate regulation,10,6,50.799751,4.414616,Scrub,Shrub,Forb,Vanderhoeven et al (2005)f,Vanderhoeven et al (2005)
688.125,3.042090784,18,1381.7531,6.543217454,18,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,13,1,50.859927,4.464912,Grassland,Forb,Forb,Herr et al (2007)a,Herr et al (2007)
160,49,10,48,6,10,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,3,3,40.57,-118.34,Scrub,Grass,Shrub,Bradley et al 2006a,Bradley et al 2006
0.25,0.290688837,5,0.89,0.223606798,5,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,40,11,50.862771,4.470963,Grassland,Forb,Grass,Vanderhoeven et al (2005)a,Vanderhoeven et al (2005)
110.5207,10.0012,4,111.8765,18.125,4,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,4,1,19.76805556,-155.9386111,Forest,Grass,Tree,Litton et al (2006)a,Litton et al (2006)
246,35.35533906,8,180,9.192388155,8,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,10.12,-69.7,Forest,Forb,Tree,Chacon et al (2009)a,Chacon et al (2009)
244.38905,3.580123999,40,129.0636875,2.564227863,40,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,11,4,39.13333333,26.51666667,Grassland,Forb,Forb,Petsikos et al (2007)a,Petsikos et al (2007)
1941.80858,131.92386,3,2405.3246,184.64098,3,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,31.15,122,Wetland,Grass,Grass,Cheng et al (2007)a,Cheng et al (2007)
0.708925,0.156257138,20,0.480575,0.054350377,20,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,31.41666667,121.8333333,Wetland,Grass,Grass,Peng et al (2011)a,Peng et al (2011)
950.3151,88.1727,12,1736.6926,248.4504,12,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,10.3127,1.3304,42.350045,-72.523112,Forest,Shrub,NA,Aguilera et al (2009)a,Aguilera et al (2009)
288.2334,11.6107,3,301.6107,9.2744,3,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,5,6,47.4,8.5,Wetland,Forb,Grass,Scharfy et al (2010)a,Scharfy et al (2010)
31.7119,8.0157,12,88.624,32.0263,12,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,5.3175,1.9386,42.320954,-72.590103,Forest,Shrub,Tree,Aguilera et al (2009)b,Aguilera et al (2009)
550.2045,265.7428,5,115.03705,112.2513,5,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,10.2829,5.8778,49.36666667,-107.8833333,Grassland,Grass,Grass,Christian et al (1999)a,Christian et al (1999)
97.679,14.3237,7,114.3899,14.3236,7,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,11,6,40.01388889,-105.2055556,Grassland,Forb,Grass,Suding et al (2004)a,Suding et al (2004)
109.4624,32.0628,12,711.4058,264.5182,12,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,7.2073,2.5068,42.291723,-72.617741,Forest,Shrub,Tree,Aguilera et al (2009)c,Aguilera et al (2009)
42.0435,12.3299,5,69.75,15.27665,5,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,10.2829,5.8778,49.36666667,-107.8833333,Grassland,Grass,Grass,Christian et al (1999)a,Christian et al (1999)
317.9285,89.20162,3,953.50408,95.16836,3,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,31.15,122,Wetland,Grass,Grass,Cheng et al (2007)a,Cheng et al (2007)
541.3493,69.6792,3,570.9676,97.5452,3,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,5,6,47.4,8.5,Wetland,Forb,Sedge,Scharfy et al (2010)c,Scharfy et al (2010)
385.75,46.4576,3,361.987,62.698,3,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,5,6,47.4,8.5,Wetland,Forb,Sedge,Scharfy et al (2010)b,Scharfy et al (2010)
345,121,4,866,167,4,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,41.61666667,-83.23333333,Wetland,Grass,Forb,Rothman et al (2007)a,Rothman et al (2007)
500,80,4,1522,464,4,Yes,Aboveground carbon storage,Intermediate Service,Positively,,1,1,41.61666667,-83.23333333,Wetland,Grass,Forb,Rothman et al (2007)a,Rothman et al (2007)
500,80,4,1522,464,4,Yes,Aboveground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,41.61666667,-83.23333333,Wetland,Grass,Forb,Rothman et al (2007)a,Rothman et al (2007)
1.18275,0.11723,4,1.30385,1.38748,4,Yes,Evapotranspiration,Intermediate Service,Positively,Water provision,-9999,-9999,31.8214,-110.8661,Grassland,Grass,Grass,Hamerlynk et al (2010)a,Hamerlynk et al (2010)
40.445,1.414715119,18,82.3,10.4,5,Yes,Water provision,Intermediate Service,Negatively,Water provision,-9999,-9999,25.453815,-80.667801,Forest,Shrub,Shrub,Ewe et al (2002)b,Ewe et al (2002)
78.9125,0.603401292,36,93.7,19.3,5,Yes,Water provision,Intermediate Service,Negatively,Water provision,-9999,-9999,25.408392,-80.686169,Forest,Shrub,Shrub,Ewe et al (2002)a,Ewe et al (2002)
33.71,1.93,24,12.88,12.88,24,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,5.56,4.08,50.75579,-120.465775,Grassland,Forb,Grass,Fraser et al (2011)a,Fraser et al (2011)
0.172,0.073087885,108,0.146477778,0.077041395,108,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,30.16666667,122.0166667,Wetland,Grass,Grass,Liao et al (2008)a,Liao et al (2008)
0.49815,0.136045456,20,0.902175,0.144491569,20,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,31.41666667,121.8333333,Wetland,Grass,Grass,Peng et al (2011)a,Peng et al (2011)
6.4,0.5,9,6,0.5,9,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,-40.8,175.19,Forest,Forb,Tree,Standish et al (2004)a,Standish et al (2004)
8.5,0.6,9,7.7,0.6,9,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,-40.1,175.46,Forest,Forb,Tree,Standish et al (2004)b,Standish et al (2004)
0.1036,0.105310446,9,0.1991,0.201642288,9,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,40.958382,-74.746874,Forest,Shrub,Shrub,Ehrenfeld et al (2001)c,Ehrenfeld et al (2001)
0.2911,0.305736508,9,1.01625,0.924298223,9,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,41.0005,-75.090315,Forest,Shrub,Shrub,Ehrenfeld et al (2001)b,Ehrenfeld et al (2001)
0.0905,0.134263072,9,3.0086,2.828943606,9,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,40.764845,-74.531681,Forest,Shrub,Shrub,Ehrenfeld et al (2001)a,Ehrenfeld et al (2001)
6.8,5.5,24,4.5,4.1,24,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,34.83333333,-114.5833333,Forest,Tree,Shrub,Busch et al 1995a,Busch et al 1995
2.3738,0.1283,15,2.2433,0.2993,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2004)a,Heneghan et al (2004)
-0.06575,0.0657,2,0.12675,0.0822,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,,,19.344837,-155.474396,Forest,Shrub,Tree,Hall et al (2007)a,Hall et al (2007)
3.9441,5.122762734,9,9.15775,7.212925369,9,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,40.764845,-74.531681,Forest,Shrub,Shrub,Ehrenfeld et al (2001)a,Ehrenfeld et al (2001)
0.56465,0.943686242,9,1.4933,2.022050591,9,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,40.958382,-74.746874,Forest,Shrub,Shrub,Ehrenfeld et al (2001)c,Ehrenfeld et al (2001)
3.0182,3.81226601,9,9.71305,8.688159135,9,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,41.0005,-75.090315,Forest,Shrub,Shrub,Ehrenfeld et al (2001)b,Ehrenfeld et al (2001)
0.071,0.0249,6,0.5913,0.081,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,37.72218889,-89.30602778,Grassland,Shrub,Tree,Goldstein et al (2006)a,Goldstein et al (2006)
0.0795,0.0149,5,1.3994,0.3421,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,12,1,42.70338,-73.83894,Scrub,Tree,NA,Malcolm et al (2008)a,Malcolm et al (2008)
0.09,0.015,4,0.18,0.02,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,23.16666667,112.1666667,Forest,Forb,NA,Chen et al 2009a,Chen et al 2009
0.021,0.006,4,0.005,0.003,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,2,1,19.41666667,-155.25,Forest,Forb,Tree,Funk 2005a,Funk 2005
0.3498,0.1002,15,0.0113,0.0908,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.81457,-88.055935,Forest,Shrub,Tree,Heneghan et al (2006)b,Heneghan et al (2006)
0.2075,0.0507,15,0.0173,0.0486,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
0.3498,0.1002,15,0.0113,0.0908,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.81457,-88.055935,Forest,Shrub,Tree,Heneghan et al (2006)b,Heneghan et al (2006)
18.6293,18.9486,18,110.3931,10.0664,18,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,37.69027778,-89.25388889,Grassland,Shrub,Grass,Baer et al 2006a,Baer et al 2006
1.72045,0.4353,50,2.07185,0.6383,50,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,21.125,-156.9583333,Scrub,Grass,Shrub,Asner et al (1996)a,Asner at al (1996)
0.2075,0.0507,15,0.0173,0.0486,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
1.0998,0.2319,12,2.6389,0.3812,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,,,46.91666667,-123.2666667,Grassland,Shrub,Grass,Haubensak et al 2004a,Haubensak et al 2004
0.164,0.0183,6,0.0964,0.0157,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,47.328425,-114.219596,Grassland,Forb,NA,Thorpe et al (2010)a,Thorpe et al (2010)
-2.220666667,0.277532121,4,-1.6587,0.130188069,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Castro Diez et al 2009a,Castro Diez et al 2009
-2.487766667,0.106951476,4,-2.595433333,0.086373688,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Casto Diez et al 2009b,Castro Diez et al 2009
2.7119,0.7355,6,5.0589,0.9196,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.954958,-73.364811,Forest,Forb,Forb,Rodgers et al (2008)c,Rodgers et al (2008)
391.3493333,17.97176667,5,514.3036,44.92936667,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,43,-76.75,Wetland,Forb,Grass,Fickbohm et al 2006a,Fickbohm et al 2006
0.6051,0.1028,15,0.4376,0.1015,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.81457,-88.055935,Forest,Shrub,Tree,Heneghan et al (2006)b,Heneghan et al (2006)
55.9856,6.135240144,8,58.5606,6.239524028,8,Yes,Maintenance of water quality,Intermediate Service,negatively,,3,1,44.140627,-100.279706,Grassland,Grass,Grass,Nosshi et al (2007)b,Nosshi et al (2007)
-2.292,0.129295522,4,-2.150466667,0.138394604,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Casto Diez et al 2009b,Castro Diez et al 2009
50.9565,6.248413836,8,60.3153,6.248251795,8,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,44.140627,-100.279706,Grassland,Grass,Grass,Nosshi et al (2007)a,Nosshi et al (2007)
0.1933,0.0288,7,0.2286,0.0336,7,Yes,Maintenance of water quality,Intermediate Service,negatively,,11,6,40.01388889,-105.2055556,Grassland,Forb,Grass,Suding et al (2004)a,Suding et al (2004)
0.6051,0.1028,15,0.4376,0.1015,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.81457,-88.055935,Forest,Shrub,Tree,Heneghan et al (2006)b,Heneghan et al (2006)
0.9413,0.5058,6,0.8976,0.5518,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.982718,-73.422661,Forest,Forb,Forb,Rodgers et al (2008)a,Rodgers et al (2008)
0.5123,0.3217,6,1.5721,0.7354,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.960511,-73.308163,Forest,Forb,Forbs,Rodgers et al (2008)e,Rodgers et al (2008)
5.0948,2.2529,6,5.327,1.0575,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.981442,-73.194695,Forest,Forb,Forbs,Rodgers et al (2008)d,Rodgers et al (2008)
0.2612,0.0374,15,0.0598,0.0561,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
0.2612,0.0374,15,0.0598,0.0561,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
-0.28225,0.41785,2,0.1292,0.0497,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,,,19.344837,-155.474396,Forest,Shrub,Tree,Hall et al (2007)a,Hall et al (2007)
0.648,0.2903,20,0.0674,0.2338,20,Yes,Maintenance of water quality,Intermediate Service,negatively,,3,3,38.044035,-109.734879,Grassland,Grass,Grass,Rimer et al (2006)a,Rimer et al (2006)
-3.150433333,0.188039283,4,-2.654833333,0.298093612,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Castro Diez et al 2009a,Castro Diez et al 2009
6.9952,1.5605,6,4.644,3.4203,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.51666667,18.53333333,Scrub,Tree,NA,Stock et al (1995)a,Stock et al (1995)
4.6735,1.0113,6,8.9516,0.7818,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.333423,-71.208229,Forest,Forb,Forb,Rodgers et al (2008)b,Rodgers et al (2008)
0.0371,0.0374,6,0.5512,0.0966,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,37.72218889,-89.30602778,Grassland,Shrub,Tree,Goldstein et al (2006)a,Goldstein et al (2006)
0.2612,0.0374,15,0.0598,0.0561,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
13.2185,2.2449,6,25.7835,7.1259,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.75,18.45,Coastal dune,Tree,NA,Stock et al (1995)b,Stock et al (1995)
0.2581,0.0528,5,1.4073,0.3826,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,12,1,42.70338,-73.83894,Scrub,Tree,NA,Malcolm et al (2008)a,Malcolm et al (2008)
0.1323,0.0802,6,0.1327,0.0437,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.960511,-73.308163,Forest,Forb,Forbs,Rodgers et al (2008)e,Rodgers et al (2008)
0.0691,0.0364,6,0.1643,0.0656,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.982718,-73.422661,Forest,Forb,Forb,Rodgers et al (2008)a,Rodgers et al (2008)
