Measure of EF used,Units used for EF,EF UI,SE UI,Sample size UI,EF I,SE I,Sample size I,Type of Var,Dominant native,Invasive,Study,SiteID,Year,Latitude,Longitude,Experiment/Observational
Soil nitrogen,percentage soil nitrogen,0.4068,0.064,24,0.4531,0.0667,24,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)l,2006,43.011677,6.223068,
Soil carbon,percentage soil carbon,6.2542,0.9153,10,4.4407,0.9322,10,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)m,2006,35.209722,24.829102,
Soil nitrogen,percentage soil nitrogen,0.3508,0.0615,10,0.2933,0.0205,10,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)m,2006,35.209722,24.829102,
Soil nitrogen,percentage soil nitrogen,0.3508,0.0615,10,0.2933,0.0205,10,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)m,2006,35.209722,24.829102,
Soil carbon,percentage soil carbon,6.3559,0.5933,30,6.3898,0.5763,30,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)n,2006,39.258841,26.27655,
Soil nitrogen,percentage soil nitrogen,0.4815,0.0334,30,0.4843,0.0283,30,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)n,2006,39.258841,26.27655,
Soil nitrogen,percentage soil nitrogen,0.4815,0.0334,30,0.4843,0.0283,30,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)n,2006,39.258841,26.27655,
Soil carbon,percentage soil carbon,3.7288,0.4237,22,3.6271,0.2882,22,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)o,2006,39.696621,3.02948,
Soil nitrogen,percentage soil nitrogen,0.2593,0.0308,22,0.2864,0.0193,22,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)o,2006,39.696621,3.02948,
Soil nitrogen,percentage soil nitrogen,0.2593,0.0308,22,0.2864,0.0193,22,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)o,2006,39.696621,3.02948,
Soil carbon,percentage soil carbon,4,0.4576,12,3.9661,0.3729,12,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)p,2006,39.943436,4.11438,
Soil nitrogen,percentage soil nitrogen,0.2589,0.0384,12,0.2578,0.0231,12,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)p,2006,39.943436,4.11438,
Soil nitrogen,percentage soil nitrogen,0.2589,0.0384,12,0.2578,0.0231,12,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)p,2006,39.943436,4.11438,
Soil carbon,percentage soil carbon,1.7966,0.2542,30,1.7119,0.2034,30,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)q,2006,40.010787,9.173584,
Soil nitrogen,percentage soil nitrogen,0.1448,0.0141,30,0.1219,0.0078,30,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)q,2006,40.010787,9.173584,
Soil nitrogen,percentage soil nitrogen,0.1448,0.0141,30,0.1219,0.0078,30,,NA,Oxalis pes-caprae,Vila et al (2006),Vila et al (2006)q,2006,40.010787,9.173584,
