Measure of EF used,Units used for EF,EF UI,SE UI,Sample size UI,EF I,SE I,Sample size I,Type of Var,Dominant native,Invasive,Study,SiteID,Year,Latitude,Longitude,Experiment/Observational
Soil ammonium content,,2.59,0.28,14,2.15,0.25,14,,NA,Solidago gigantea,Scharfy et al (2009),Scharfy et al (2009)a,2009,46.78333333,6.15,
Soil ammonium content,,2.59,0.28,14,2.15,0.25,14,,NA,Solidago gigantea,Scharfy et al (2009),Scharfy et al (2009)a,2009,46.78333333,6.15,
N mineralisation,,15.5803,1.8919,6,13.967,3.1894,6,,Artemisia californica,Bromus madritensis,Wolkowich et al (2009),Wolkowich et al (2009)a,2009,32.600626,-117.127991,
N mineralisation,,15.5803,1.8919,6,13.967,3.1894,6,,Artemisia californica,Bromus madritensis,Wolkowich et al (2009),Wolkowich et al (2009)a,2009,32.600626,-117.127991,
N mineralisation,,15.5803,1.8919,6,13.967,3.1894,6,,Artemisia californica,Bromus madritensis,Wolkowich et al (2009),Wolkowich et al (2009)a,2009,32.600626,-117.127991,
N mineralisation,,15.5803,1.8919,6,13.967,3.1894,6,,Artemisia californica,Bromus madritensis,Wolkowich et al (2009),Wolkowich et al (2009)a,2009,32.600626,-117.127991,
Carbon,,,0.0673,0.0054,6,0.0991,0.0199,,Artemisia californica,Bromus madritensis,Wolkowich et al (2010),Wolkowich et al (2010)a,2010,32.600626,-117.127991,
Soil ammonia,Ammonia concentration (milligrams per kilogram of soil),1.41202,0.34373,4,1.95398,0.44302,4,,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)b,2005,-34.96666667,150.7833333,
Soil ammonia,Ammonia concentration (milligrams per kilogram of soil),1.41202,0.34373,4,1.95398,0.44302,4,,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)b,2005,-34.96666667,150.7833333,
Soil moisture,percentage soil water content,6.933333333,0.769786705,7,4.333333333,0.151738497,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Soil organic matter,percentage organic matter,2.5,0.349461831,7,2.166666667,0.089942839,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
