EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3,Inv_Nit_fix,Nat_Nit_fix,Temp,Precip,CWD
Soil % nitrogen,%,Soil Nitrogen,0.0521,NA,NA,0.1042,NA,NA,SE,Encelia farinosa,Pennisetum ciliare,Abella et al (2013),Abella et al (2013)a,2013,32.296745,-111.166626,Observational,Scrub,Terrestrial,0.9,0.5,1,0,1,0,0,0,201.3404043,324.3894135,-1759.891983
Soil Nitrogen concentration,grams per kg of soil (0-5cm depth),Soil nitrogen,13.8,0.4,5,25.9,0.5,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006a,2006,19.44805556,-154.8611111,Observational,Forest,Terrestrial,22.5,30,1,1,1,1,0,1,225.4827785,3135.134401,NA
Soil nitrogen concentration,grams per kilogram of soil (0-5cm depth),Soil nitrogen,14.5,0.5,5,31.3,0.7,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006b,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1,0,1,216.0203261,3416.355298,NA
Soil nitrogen concentration,grams per kilogram of soil (0-5cm depth),Soil nitrogen,21,0.9,5,23.9,2.5,5,,Metrosideros polymorpha,Falcataria moluccana,Allison et al 2006,Allison et al 2006c,2006,19.41972222,-154.9538889,Observational,Forest,Terrestrial,22.5,30,1,1,1,1,0,1,216.0203261,3416.355298,NA
Total soluble nitrate in soil,micrograms per gram of soil (0-10cm depth),Soil nitrogen,0.37083,0.0969,5,0.65545,0.11637,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA,0,0,58.06300804,764.9017758,-173.8503314
Inorganic nitrogen pools,micrograms of Nitrogen per gram of soil,Soil Nitrogen,4.35175,1.0032,25,6.06655,1.2829,25,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,Observational,Scrub,Terrestrial,1.95,1.125,1,0,1,0,0,0,215.4374956,1196.375137,-474.1872982
Annual mean soil water nitrate concentration,mg nitrate per litre of water,Soil nitrogen,0.5217,0.2235,18,10.5466,4.6956,18,,Festuca ovina,Elaeagnus umbellata,Baer et al 2006,Baer et al 2006a,2006,37.69027778,-89.25388889,Observational,Grassland,Terrestrial,0.43,3.5,0,1,1,NA,0,0,130.3816667,1143.861249,-284.9053235
Total inorganic N in soil,milligrams of nitrogen per metre squared,Soil Nitrogen,971.8446,222.4027,18,1753.5227,248.3531,18,,Festuca ovina,Elaeagnus umbellata,Baer et al 2006,Baer et al 2006a,2006,37.69027778,-89.25388889,Observational,Grassland,Terrestrial,0.43,3.5,0,1,1,NA,0,0,130.3816667,1143.861249,-284.9053235
Total soil nitrogen,grams of nitrogen per metre squared,Soil Nitrogen,344.1,8.08084154,12,347.9,6.66183158,12,,Festuca ovina,Elaeagnus umbellata,Baer et al 2006,Baer et al 2006a,2006,37.69027778,-89.25388889,Observational,Grassland,Terrestrial,0.43,3.5,0,1,1,NA,0,0,130.3816667,1143.861249,-284.9053235
Soil nitrogen,parts per million of nitrogen in soil (0-10cm depth),Soil Nitrogen,385,16,3,445,22,3,,Pleuraphis jamesii,Bromus tectorum,Belnap et al (2005),Belnap et al (2005)a,2005,38.24878,-109.873495,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1,0,0,119.4391717,220.1169066,-1376.690124
