,X,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Median_height
146,146,Quercus alba,Quercus alba,TRUE,NCBI,0.988,Eastern North America,,NA,,30,24,NA,https://en.wikipedia.org/wiki/Quercus_alba,,27
147,147,Quercus ilex,Quercus ilex,TRUE,NCBI,0.988,Mediterranean and Northern Africa,,NA,,20,5,NA,https://en.wikipedia.org/wiki/Quercus_ilex,,12.5
148,148,Quercus robur,Quercus robur,TRUE,Wikispecies,0.988,Europe and Western Asia,,39.14867641,Native,40,20,NA,https://www.woodlandtrust.org.uk/visiting-woods/trees-woods-and-wildlife/british-trees/native-trees/english-oak/,,30
149,149,Quercus rubra,Quercus rubra,TRUE,NCBI,0.988,Eastern North America,,25,Non-native,NA,NA,28,https://en.wikipedia.org/wiki/Quercus_rubra,,28
150,150,Quercus,Quercus,TRUE,Catalogue of Life,0.75,,,NA,,NA,NA,NA,,,NA
151,151,Raphanus sativus,Raphanus sativus,TRUE,NCBI,0.988,Europe,,0.519615242,Native,NA,NA,0.13,https://en.wikipedia.org/wiki/Radish,,0.13
152,152,Retama raetam,Retama raetam,TRUE,NCBI,0.988,Southern Europe and North Africa,,NA,,NA,NA,3,http://www.flowersinisrael.com/Retamaraetam_page.htm,,3
153,153,Rhamnus cathartica,Rhamnus cathartica,TRUE,NCBI,0.988,"Europe, Northern Africa, western Asia.",,NA,,NA,NA,10,https://en.wikipedia.org/wiki/Rhamnus_cathartica,,10
154,154,Rhamnus davurica,Rhamnus davurica,TRUE,NCBI,0.988,East Asia,,NA,,NA,NA,10,https://en.wikipedia.org/wiki/Rhamnus_davurica,,10
155,155,Robinia pseudoacacia,Robinia pseudoacacia,TRUE,NCBI,0.988,South Eastern USA,,NA,,NA,NA,25,http://www.kew.org/science-conservation/plants-fungi/robinia-pseudoacacia-black-locust,,25
156,156,Rubus,Rubus,TRUE,Catalogue of Life,0.75,,,NA,,NA,NA,NA,,,NA
157,157,Sagittaria latifolia,Sagittaria latifolia,TRUE,NCBI,0.988,"North America, Mexico, Northern South America",,NA,,NA,NA,1.2,http://plants.usda.gov/factsheet/pdf/fs_sala2.pdf,,1.2
158,158,Salix caprea,Salix caprea,TRUE,NCBI,0.988,Europe and Asia,,5.295522503,Native,10,8,NA,https://en.wikipedia.org/wiki/Salix_caprea,,9
159,159,Schinus terebinthifolius,Schinus terebinthifolius,TRUE,Freebase,0.988,Tropical and subtropical South America,,NA,,10,7,NA,https://en.wikipedia.org/wiki/Schinus_terebinthifolius,,8.5
160,160,Schizachyrium condensatum,Schizachyrium condensatum,TRUE,EOL,0.988,South America,,NA,,NA,NA,1.5,https://en.wikipedia.org/wiki/Schizachyrium_condensatum,,1.5
161,161,Schizachyrium scoparium,Schizachyrium scoparium,TRUE,NCBI,0.988,Native to most of the USA apart from California,,NA,,0.9,0.45,NA,http://plants.usda.gov/factsheet/pdf/fs_scsc.pdf,,0.675
162,162,Scirpus mariqueter,Scirpus mariqueter,TRUE,EOL,0.988,All continents apart from Africa,,NA,,NA,NA,NA,,No details on height,NA
163,163,Selaginella densa,Selaginella densa,TRUE,NCBI,0.988,Western North America,,NA,,NA,NA,0.04,https://en.wikipedia.org/wiki/Selaginella_densa,,0.04
164,164,Setaria plicata,Setaria plicata,TRUE,NCBI,0.988,,Origin unsure,NA,,1.3,0.45,NA,http://www.kew.org/data/grasses-db/www/imp09408.htm,,0.875
165,165,Solidago canadensis,Solidago canadensis,TRUE,NCBI,0.988,North-Eastern and North-Central North America,,1.375,Non-native,2.1,0.3,NA,http://plants.usda.gov/factsheet/pdf/fs_soca6.pdf,,1.2
166,166,Solidago gigantea,Solidago gigantea,TRUE,NCBI,0.988,North America,,1.375,Non-native,NA,NA,2,https://en.wikipedia.org/wiki/Solidago_gigantea,,2
167,167,Sorghum halepense,Sorghum halepense,TRUE,NCBI,0.988,Mediterranean,,NA,,0.5,0.15,NA,http://www.cabi.org/isc/datasheet/50624,,0.325
168,168,Spartina alterniflor,Spartina alterniflora,FALSE,Catalogue of Life,0.75,Atlantic coast of North America,,NA,,2.1,0.6,NA,http://plants.usda.gov/factsheet/pdf/fs_spal.pdf,,1.35
169,169,Spartina alterniflora,Spartina alterniflora,TRUE,WoRMS,0.988,Atlantic coast of North America,,NA,,2.1,0.6,NA,http://plants.usda.gov/factsheet/pdf/fs_spal.pdf,,1.35
170,170,Spartina anglica,Spartina anglica,TRUE,Freebase,0.988,Europe/UK,,NA,,1.3,0.4,NA,https://en.wikipedia.org/wiki/Spartina_anglica,,0.85
171,171,Spartina patens,Spartina patens,TRUE,Freebase,0.988,"Atlantic coast of North America, Carribean and Mexico",,NA,,0.6,0.3,NA,https://en.wikipedia.org/wiki/Spartina_patens,,0.45
172,172,Stapelia gigantea,Stapelia gigantea,TRUE,NCBI,0.988,South-Eastern Africa,,NA,,NA,NA,0.2,https://en.wikipedia.org/wiki/Stapelia_gigantea,,0.2
173,173,Stipa,Stipa,TRUE,Catalogue of Life,0.75,,Origin unsure,NA,,NA,NA,NA,,,NA
174,174,Stylophorum diphyllum,Stylophorum diphyllum,TRUE,NCBI,0.988,Eastern North America,,NA,,NA,NA,0.45,https://en.wikipedia.org/wiki/Stylophorum_diphyllum,,0.45
175,175,Styphelia tameiameiae,Styphelia tameiameiae,TRUE,NCBI,0.988,Hawaii and Maquesas islands,,NA,,3,0.9,NA,https://en.wikipedia.org/wiki/Styphelia_tameiameiae,,1.95
176,176,Tamarix chinensis,Tamarix chinensis,TRUE,NCBI,0.988,China and Korea,,NA,,NA,NA,6,https://en.wikipedia.org/wiki/Tamarix_chinensis,,6
177,177,Tamarix ramosissima,Tamarix ramosissima,TRUE,NCBI,0.988,Europe and Asia,,NA,,NA,NA,8,https://en.wikipedia.org/wiki/Tamarix_ramosissima,,8
178,178,Tamarix,Tamarix,TRUE,NCBI,0.75,,,NA,,NA,NA,NA,,,NA
179,179,Taxodium distichum,Taxodium distichum,TRUE,NCBI,0.988,South Eastern USA,,40,Non-native,35,30,NA,https://en.wikipedia.org/wiki/Taxodium_distichum,,32.5
180,180,Teline monspessulana,Teline monspessulana,TRUE,EOL,0.988,Mediterranean,,NA,,2.5,1,NA,https://en.wikipedia.org/wiki/Genista_monspessulana,,1.75
181,181,Themeda trianda,Themeda triandra,FALSE,Catalogue of Life,0.75,"Asia, Africa, Australia and Pacific",Origin unsure,NA,,NA,NA,1.5,https://en.wikipedia.org/wiki/Themeda_triandra,,1.5
182,182,Toxicodendron vernicifluu,Toxicodendron vernicifluum,FALSE,Catalogue of Life,0.75,China and India,,NA,,NA,NA,20,https://en.wikipedia.org/wiki/Toxicodendron_vernicifluum,,20
183,183,Tradescantia fluminensis,Tradescantia fluminensis,TRUE,NCBI,0.988,South America,,NA,,NA,NA,0.2,https://www.rhs.org.uk/Plants/56226/i-Tradescantia-fluminensis-i-Quicksilver-(v)/Details,,0.2
184,184,Trientalis borealis,Trientalis borealis,TRUE,Catalogue of Life,0.988,North America,,NA,,NA,NA,0.2,https://en.wikipedia.org/wiki/Trientalis_borealis,,0.2
185,185,Trifolium repens,Trifolium repens,TRUE,NCBI,0.988,Europe and Central Asia,,0.316227766,Native,NA,NA,0.07,https://en.wikipedia.org/wiki/Trifolium_repens,,0.07
186,186,Typha latifolia,Typha latifolia,TRUE,NCBI,0.988,North and South America,,1.5,Non-native,3,1.5,NA,https://en.wikipedia.org/wiki/Typha_latifolia,,2.25
187,187,Typha x glauca,Typha x glauca,TRUE,NCBI,0.999,Europe,,NA,,1.8,0.9,NA,https://en.wikipedia.org/wiki/Typha_angustifolia,,1.35
188,188,Ulmus minor,Ulmus minor,TRUE,Catalogue of Life,0.988,Europe to Central Asia,,28.63564213,Native,NA,NA,30,https://en.wikipedia.org/wiki/Ulmus_minor,,30
189,189,Urtica dioica,Urtica dioica,TRUE,Catalogue of Life,0.988,"Europe, Asia, northern Africa, western North America",,0.74941486,Native,2,1,NA,https://en.wikipedia.org/wiki/Urtica_dioica,,1.5
190,190,Vaccinium,Vaccinium,TRUE,Catalogue of Life,0.75,,Origin unsure,NA,,NA,NA,NA,,,NA
