,X,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Median_height
35,35,Berberis thunbergii,Berberis thunbergii,TRUE,NCBI,0.988,Japan and East Asia,,NA,,2.5,0.6,NA,https://en.wikipedia.org/wiki/Berberis_thunbergii,,1.55
36,36,Bouteloua gracialis,Bouteloua gracilis,FALSE,Catalogue of Life,0.75,North America,,NA,,0.3,0.15,NA,https://en.wikipedia.org/wiki/Bouteloua_gracilis,,0.225
37,37,Brachypodium distachyon,Brachypodium distachyon,TRUE,NCBI,0.988,"Southern Europe, North Africa, Western Asia to India",,NA,,NA,NA,NA,,,NA
38,38,Bromus inermis,Bromus inermis,TRUE,NCBI,0.988,Europe,,0.475,Native,0.91,0.46,NA,https://en.wikipedia.org/wiki/Bromus_inermis,,0.685
39,39,Bromus madritensis,Bromus madritensis,TRUE,NCBI,0.988,Europe,,0.19,Native,0.5,0.1,NA,https://en.wikipedia.org/wiki/Bromus_madritensis,,0.3
40,40,Bromus,Bromus,TRUE,Catalogue of Life,0.75,,,NA,,NA,NA,NA,,,NA
41,41,Bromus tectorum,Bromus tectorum,TRUE,NCBI,0.988,"Europe, Northern Africa, South Western Asia",,0.220794022,Native,0.9,0.4,NA,https://en.wikipedia.org/wiki/Bromus_tectorum,,0.65
42,42,Calamagrostis epigejos,Calamagrostis epigejos,TRUE,Freebase,0.988,Eurasia and Africa,,1,Native,2,0.6,NA,https://en.wikipedia.org/wiki/Calamagrostis_epigejos,,1.3
43,43,Carex acutiformis,Carex acutiformis,TRUE,NCBI,0.988,Northern and Western Europe,,0.75,Native,NA,NA,1.5,https://en.wikipedia.org/wiki/Carex_acutiformis,,1.5
44,44,Carex elata,Carex elata,TRUE,NCBI,0.988,Unclear,,0.9,Unclear,1.5,0.5,NA,https://www.rhs.org.uk/plants/details?plantid=326,,1
45,45,Carex lurida,Carex lurida,TRUE,NCBI,0.988,Unclear,,NA,,NA,NA,1,https://www.shootgardening.co.uk/plant/carex-lurida,,1
46,46,Carex stricta,Carex stricta,TRUE,NCBI,0.988,North America,,NA,,NA,NA,0.61,https://en.wikipedia.org/wiki/Carex_stricta,,0.61
47,47,Carpobrotus,Carpobrotus,TRUE,Catalogue of Life,0.75,,,NA,,NA,NA,NA,,,NA
48,48,Carya laciniosa,Carya laciniosa,TRUE,NCBI,0.988,Eastern North America,,NA,,NA,NA,36.9,https://en.wikipedia.org/wiki/Carya_laciniosa,,36.9
49,49,Centairea solsititialis,Centaurea solstitialis,FALSE,Catalogue of Life,0.75,Mediterranean,,0.633640276,Native,NA,NA,1,https://en.wikipedia.org/wiki/Centaurea_solstitialis,,1
50,50,Centaurea diffusa,Centaurea diffusa,TRUE,NCBI,0.988,Eastern Europe and Western Asia,,0.3,Native,0.6,0.1,NA,https://en.wikipedia.org/wiki/Centaurea_diffusa,,0.35
51,51,Centaurea maculosa,Centaurea maculosa,TRUE,NCBI,0.988,Eastern Europe,,0.475,Native,NA,NA,0.91,https://en.wikipedia.org/wiki/Centaurea_maculosa,,0.91
52,52,Centaurea stoebe,Centaurea stoebe,TRUE,NCBI,0.988,Italy,,NA,,NA,NA,NA,,,NA
53,53,Chrysanthemoides monilifera,Chrysanthemoides monilifera,TRUE,NCBI,0.988,South Africa,,NA,,NA,NA,3,https://en.wikipedia.org/wiki/Chrysanthemoides_monilifera,,3
54,54,Corema album,Corema album,TRUE,NCBI,0.988,Iberia,,NA,,0.7,0.3,NA,https://es.wikipedia.org/wiki/Corema_album,,0.5
