Metric,Unites,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var_type,Dom_nat,Inv,Service,Study,SiteID,Year,Latitude,Longitude,Native height,Invasive height
Aboveground biomass,tonnes per hectare of biomass,1.7,0.1,3,8.6,1,3,SE,Themeda trianda,Pennisetum polystachion,Yes,Douglas et al 2004,Douglas et al 2004a,2004,-13.15,130.65,1.5,1.65
Biomass,,64.5,4.82,24,71.59,4.82,24,SE,Festuca campestris,Centaurea stoebe,Yes,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,0.8,0.9
Plant biomass,,688.125,3.042090784,18,1381.7531,6.543217454,18,SE,Achillea millefolium,Solidago gigantea,Yes,Herr et al (2007),Herr et al (2007)a,2007,50.859927,4.464912,0.6,2
Aboveground biomass,,244.38905,3.580123999,40,129.0636875,2.564227863,40,SE,Anthemis arvensis,Oxalis pes-caprae,Yes,Petsikos et al (2007),Petsikos et al (2007)a,2007,39.13333333,26.51666667,0.35,0.225
Aboveground biomass,,500,80,4,1522,464,4,SE,Sagittaria latifolia,Phragmites australis,Yes,Rothman et al (2007),Rothman et al (2007)a,2007,41.61666667,-83.23333333,1.2,4
Aboveground biomass,,1177,164,4,1522,464,4,SE,Typha,Phragmites australis,Yes,Rothman et al (2007),Rothman et al (2007)a,2007,41.61666667,-83.23333333,2.25,4
Aboveground biomass,,288.2334,11.6107,3,301.6107,9.2744,3,SE,Molinia caerulea,Solidago gigantea,Yes,Scharfy et al (2010),Scharfy et al (2010)a,2010,47.4,8.5,0.9,2
Aboveground biomass,,385.75,46.4576,3,361.987,62.698,3,SE,Carex elata,Solidago gigantea,Yes,Scharfy et al (2010),Scharfy et al (2010)b,2010,47.4,8.5,1,2
Aboveground biomass,,541.3493,69.6792,3,570.9676,97.5452,3,SE,Carex acutiformis,Solidago gigantea,Yes,Scharfy et al (2010),Scharfy et al (2010)c,2010,47.4,8.5,1.5,2
Aboveground biomass,,0.708925,0.156257138,20,0.480575,0.054350377,20,SE,Phragmites australis,Spartina alterniflora,Yes,Peng et al (2011),Peng et al (2011)a,2011,31.41666667,121.8333333,4,1.35
Aboveground biomass,grams per metre squared,420.29974,123.8713822,10,593.54903,130.2401252,10,SD,Pascopyrum smithii,Bromus inermis,,Fink and Wilson (2011),Fink and Wilson (2011)a,2011,49.06833333,-106.5308056,0.6,0.685
Aboveground biomass,Mg per ha,240.3332,37.1986,5,279.3205,50.294,5,SE,Planchonella samoensis,Falcataria moluccana,,Hughes et al. (2012),Hughes et al. (2012)a,2012,-14.3,170.6833333,40,30
Aboveground carbon storage,kg per metre squared,0.33,0.11,5,0.12,0.04,5,SD,Agrostis halli,Avena barbata,,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,122.524,1,0.7
Aboveground carbon storage,kg per metre squared,0.35,0.16,5,0.12,0.04,5,SD,Festuca rubra,Avena barbata,,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,122.524,0.525,0.7
Aboveground carbon storage,kg per metre squared,0.42,0.08,5,0.22,0.04,5,SD,Agrostis halli,Avena barbata,,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,122.524,1,0.7
Aboveground carbon storage,kg per metre squared,0.37,0.13,5,0.22,0.04,5,SD,Festuca rubra,Avena barbata,,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,122.524,0.525,0.7
Aboveground carbon storage,kg per metre squared,0.42,0.06,5,0.22,0.03,5,SD,Agrostis halli,Avena barbata,,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,122.524,1,0.7
Aboveground carbon storage,kg per metre squared,0.37,0.1,5,0.22,0.03,5,SD,Festuca rubra,Avena barbata,,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,122.524,0.525,0.7
Aboveground carbon storage,,0.26,0.15,5,0.17,0.04,5,SD,Nassella pulchra,Brachypodium distachyon,,Koteen et al. (2011),Koteen et al. (2011)b,2011,37.931,122.673,1,
Aboveground carbon storage,,0.26,0.1,5,0.28,0.07,5,SD,Nassella pulchra,Brachypodium distachyon,,Koteen et al. (2011),Koteen et al. (2011)b,2011,37.931,122.673,1,
Aboveground carbon storage,,0.26,0.08,5,0.28,0.05,5,SD,Nassella pulchra,Brachypodium distachyon,,Koteen et al. (2011),Koteen et al. (2011)b,2011,37.931,122.673,1,
Total plant biomass,,2.18,0.09,15,4.36,0.16,15,SE,Eupatorium perfoliatum,Microstegium vimineum,,Lee et al (2012),Lee et al (2012)a,2012,39.21916667,-86.54138889,1,0.7
Aboveground biomass,kilograms per metre squared,28.9,8.3,8,14.6,3.3,4,SE,Acer rubrum,Rhamnus cathartica,,Mascaro and Schnitzer (2011),Mascaro and Schnitzer (2011)a,2011,42.762371,-88.133196,15,10
