SiteID,Latitude,Longitude
Ogle et al (2003)d,43.58333333,-102.6333333
Potts et al (2008)a,33.38,-117.5
Potts et al (2008)a,33.38,-117.5
Potts et al (2008)a,33.38,-117.5
Potts et al (2008)a,33.38,-117.5
Reed et al (2005)a,39.098744,-96.606152
Reed et al (2005)a,39.098744,-96.606152
Reed et al (2005)a,39.098744,-96.606152
Reed et al (2005)a,39.098744,-96.606152
Reed et al (2005)a,39.098744,-96.606152
Reed et al (2005)a,39.098744,-96.606152
Reed et al (2005)a,39.098744,-96.606152
Windham et al (2003)a,39.576619,-74.331007
Windham et al (2003)a,39.576619,-74.331007
Windham et al (2003)a,39.576619,-74.331007
Holle et al (2006)a,41.935998,-70.044708
Holle et al (2006)a,41.935998,-70.044708
Holle et al (2006)a,41.935998,-70.044708
Holle et al (2006)a,41.935998,-70.044708
Holle et al (2006)a,41.935998,-70.044708
Holle et al (2006)a,41.935998,-70.044708
Vila et al (2006)a,42.073762,9.014282
Vila et al (2006)a,42.073762,9.014282
Vila et al (2006)a,42.073762,9.014282
Vila et al (2006)b,35.209722,24.829102
Vila et al (2006)b,35.209722,24.829102
Vila et al (2006)b,35.209722,24.829102
Vila et al (2006)c,39.696621,3.02948
Vila et al (2006)c,39.696621,3.02948
Vila et al (2006)c,39.696621,3.02948
Vila et al (2006)d,39.943436,4.11438
Vila et al (2006)d,39.943436,4.11438
Vila et al (2006)d,39.943436,4.11438
Vila et al (2006)e,40.010787,9.173584
Vila et al (2006)e,40.010787,9.173584
Vila et al (2006)e,40.010787,9.173584
Vila et al (2006)f,43.013308,6.363058
Vila et al (2006)f,43.013308,6.363058
Vila et al (2006)f,43.013308,6.363058
Vila et al (2006)g,43.011677,6.223068
Vila et al (2006)g,43.011677,6.223068
Vila et al (2006)g,43.011677,6.223068
Vila et al (2006)h,35.209722,24.829102
Vila et al (2006)h,35.209722,24.829102
Vila et al (2006)h,35.209722,24.829102
Vila et al (2006)i,39.696621,3.02948
Vila et al (2006)i,39.696621,3.02948
Vila et al (2006)i,39.696621,3.02948
Vila et al (2006)j,39.943436,4.11438
Vila et al (2006)j,39.943436,4.11438
Vila et al (2006)j,39.943436,4.11438
Vila et al (2006)k,40.010787,9.173584
Vila et al (2006)k,40.010787,9.173584
Vila et al (2006)k,40.010787,9.173584
Vila et al (2006)l,43.011677,6.223068
Vila et al (2006)l,43.011677,6.223068
Vila et al (2006)l,43.011677,6.223068
Vila et al (2006)m,35.209722,24.829102
Vila et al (2006)m,35.209722,24.829102
Vila et al (2006)m,35.209722,24.829102
Vila et al (2006)n,39.258841,26.27655
Vila et al (2006)n,39.258841,26.27655
Vila et al (2006)n,39.258841,26.27655
Vila et al (2006)o,39.696621,3.02948
Vila et al (2006)o,39.696621,3.02948
Vila et al (2006)o,39.696621,3.02948
Vila et al (2006)p,39.943436,4.11438
Vila et al (2006)p,39.943436,4.11438
Vila et al (2006)p,39.943436,4.11438
Vila et al (2006)q,40.010787,9.173584
Vila et al (2006)q,40.010787,9.173584
Vila et al (2006)q,40.010787,9.173584
Vanderhoeven et al (2005)a,50.862771,4.470963
Vanderhoeven et al (2005)a,50.862771,4.470963
Vanderhoeven et al (2005)a,50.862771,4.470963
Vanderhoeven et al (2005)a,50.862771,4.470963
Vanderhoeven et al (2005)a,50.862771,4.470963
Vanderhoeven et al (2005)c,50.799859,4.334278
Vanderhoeven et al (2005)c,50.799859,4.334278
Vanderhoeven et al (2005)c,50.799859,4.334278
Vanderhoeven et al (2005)c,50.799859,4.334278
Vanderhoeven et al (2005)d,50.799751,4.414616
Vanderhoeven et al (2005)d,50.799751,4.414616
Vanderhoeven et al (2005)d,50.799751,4.414616
Vanderhoeven et al (2005)d,50.799751,4.414616
Vanderhoeven et al (2005)e,50.895427,4.416804
Vanderhoeven et al (2005)e,50.895427,4.416804
Vanderhoeven et al (2005)e,50.895427,4.416804
Vanderhoeven et al (2005)e,50.895427,4.416804
Bartomeus et al(2010)a,51.53888889,9.955555556
Marchante et al (2008)a,40.65,-8.733333333
Marchante et al (2008)a,40.65,-8.733333333
Wolf et al (2004)a,40.35,-105.5841064
Wolf et al (2004)a,40.35,-105.5841064
Wolf et al (2004)a,40.35,-105.5841064
Wolf et al (2004)a,40.35,-105.5841064
Wolf et al (2004)a,40.35,-105.5841064
Zhang et al (2009)a,28.85,120.9166667
Zhang et al (2009)a,28.85,120.9166667
Zhang et al (2009)a,28.85,120.9166667
Cleverly et al (2006)a,34.662837,-106.776416
Asner et al (1996)a,21.125,-156.9583333
Asner et al (1996)a,21.125,-156.9583333
Asner et al (1996)a,21.125,-156.9583333
Asner et al (1996)a,21.125,-156.9583333
Asner et al (1996)a,21.125,-156.9583333
Asner et al (1996)a,21.125,-156.9583333
Liao et al (2007)a,30.16666667,122.0166667
Evans et al (2001)a,38.09527778,-109.8419444
Evans et al (2001)a,38.09527778,-109.8419444
Evans et al (2001)a,38.09527778,-109.8419444
Evans et al (2001)b,38.09527778,-109.8419444
Evans et al (2001)b,38.09527778,-109.8419444
Evans et al (2001)b,38.09527778,-109.8419444
Ehrenfeld et al (2001)a,40.764845,-74.531681
Ehrenfeld et al (2001)a,40.764845,-74.531681
Ehrenfeld et al (2001)a,40.764845,-74.531681
Ehrenfeld et al (2001)a,40.764845,-74.531681
Ehrenfeld et al (2001)a,40.764845,-74.531681
Ehrenfeld et al (2001)a,40.764845,-74.531681
Ehrenfeld et al (2001)a,40.764845,-74.531681
Ehrenfeld et al (2001)a,40.764845,-74.531681
Ehrenfeld et al (2001)b,41.0005,-75.090315
Ehrenfeld et al (2001)b,41.0005,-75.090315
