"","Vars","Modal_rank","Prop_rank","log_liklihood","AICc_med","delta_med","R2_med"
"1","CWD",4,0,-129.250233117681,265.833799568695,92.1141218074051,0.01
"2","Height",2,0.1739,-83.1349110644846,173.603155462303,0.0320037547525942,0.28
"3","Height*CWD",1,0.8261,-79.910575853775,173.57115170755,0,0.3
"4","Height+CWD",3,0,-82.7710837864066,175.895108749284,2.32395704173379,0.28
"5","Null",5,0,-131.215160092787,267.061899132942,93.3333522166636,0
