"","Vars","Modal_rank","Prop_rank","log_liklihood","AICc_med","delta_med","R2_med"
"1","CWD",4,0,-1625.44679235211,3257.3146373358,421.117975800219,0.00227875084862528
"2","Height*CWD",1,1,-1413.43800050695,2837.9669101048,0,0.12075048290133
"3","Height_RR",3,0,-1594.4427400547,3195.30653274098,359.084712379797,0.0195389626383771
"4","Height+CWD",2,0,-1588.50713082533,3185.72854736495,349.531885829368,0.0228350248938193
"5","Null",5,0,-1629.63594238633,3263.47878132438,427.09365848852,0
