"Parameter","coef_estimate","lower","upper","med_pval","se"
"1","CWD",0.16,-0.43,0.75,0.59,0.3
"2","Height",0.88,0.69,1.07,0,0.1
"3","Height*CWD",-0.16,-0.29,-0.03,0.016,0.07
"4","Intercept",0.45,-0.12,1.01,0.12,0.29
