"","Vars","Modal_rank","Prop_rank","log_liklihood","AICc_med","delta_med","R2_med"
"1","CWD",4,0,-129.24940524331,265.832143819954,93.0294129520574,0.01
"2","Height",2,0.1585,-83.0288848283019,173.391102989937,0.0385037235159871,0.28
"3","Height*CWD",1,0.8415,-79.8012996332106,173.352599266421,0,0.3
"4","Height+CWD",3,0,-82.6712319403219,175.695405057114,2.34280579069321,0.28
"5","Null",5,0,-131.214765755426,267.06111045822,94.2539854244766,0
