ID	Family	taxa	Trait	Data	DataType	Method	Source	Region2	Redundancy
C03010	Asteraceae	Sonchus oleraceus	DispMode	anemochory	categorical	compilation	Valbuena2001	W	NA
R00255	Asteraceae	Sonchus oleraceus	RespFire	no	categorical	experience	Trabaud1992	W	NA
R00306	Asteraceae	Sonchus oleraceus	RespFire	no	categorical	measure	Buhk2005a	W	NA
C02801	Asteraceae	Sonchus oleraceus	RespFire	no	categorical	compilation	Valbuena2001	W	NA
C08073	Asteraceae	Sonchus oleraceus	RootDepth	0.31	quantitative	measure	GuerreroCampo2006	W	NA
R03023	Asteraceae	Sonchus oleraceus	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
C02831	Asteraceae	Sonchus oleraceus	SeedlEmerg	yes	categorical	compilation	Valbuena2001	W	NA
R03074	Asteraceae	Sonchus oleraceus	SeedlEmerg	yes	categorical	measure	Buhk2005a	W	NA
C01516	Asteraceae	Sonchus tenerrimus	DispMode	anemochory	categorical	experience	Valencia	W	NA
E00348	Asteraceae	Sonchus tenerrimus	FruitType	dry	categorical	experience	Murcia	W	NA
C01376	Asteraceae	Sonchus tenerrimus	FruitType	dry	categorical	experience	Valencia	W	NA
C00288	Asteraceae	Sonchus tenerrimus	Height	0.6	quantitative	general reference	Mateo1990	W	NA
E00349	Asteraceae	Sonchus tenerrimus	Height	0.3	quantitative	measure	Murcia	W	NA
C00836	Asteraceae	Sonchus tenerrimus	LeafShape	broad	categorical	experience	Valencia	W	NA
E00351	Asteraceae	Sonchus tenerrimus	LeafShape	linear	categorical	experience	Murcia	W	NA
C00931	Asteraceae	Sonchus tenerrimus	LeafSize	medium	semi-quantitative	experience	Valencia	W	NA
C01467	Asteraceae	Sonchus tenerrimus	Propagule	fruit	categorical	experience	Valencia	W	NA
E00353	Asteraceae	Sonchus tenerrimus	Propagule	seed	categorical	experience	Murcia	W	NA
R01058	Asteraceae	Sonchus tenerrimus	RespFire	variable	categorical	measure	Abad1996	W	NA
R00307	Asteraceae	Sonchus tenerrimus	RespFire	no	categorical	measure	Buhk2005a	W	NA
C02675	Asteraceae	Sonchus tenerrimus	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Buhk2005b	W	NA
R03714	Asteraceae	Sonchus tenerrimus	SeedlEmerg	yes	categorical	measure	Abad1996	W	NA
E00355	Asteraceae	Sonchus tenerrimus	SeedlEmerg	high	semi-quantitative	measure	Murcia	W	786
R03075	Asteraceae	Sonchus tenerrimus	SeedlEmerg	yes	categorical	measure	Buhk2005a	W	786
C01222	Asteraceae	Sonchus tenerrimus	SeedMass	very light	semi-quantitative	experience	Valencia	W	NA
E01756	Asteraceae	Staehelina dubia	BudSource	epicormic buds	categorical	experience	Palacio2007a	W	NA
C08884	Asteraceae	Staehelina dubia	DispMode	anemochory	categorical	general reference	Bolos1984	W	NA
E01776	Asteraceae	Staehelina dubia	FruitType	dry	categorical	experience	NESpain	W	NA
E04116	Asteraceae	Staehelina dubia	FruitType	dry	categorical	general reference	Valdes1987	W	NA
S00469	Asteraceae	Staehelina dubia	HeatStimGerm	unaffected/_MH	semi-quantitative conditional	measure	Luna2007a	W	NA
E01603	Asteraceae	Staehelina dubia	Height	0.4	quantitative	measure	NESpain	W	NA
E04198	Asteraceae	Staehelina dubia	Height	0.4	quantitative	general reference	Bolos1984	W	NA
E01677	Asteraceae	Staehelina dubia	LeafPhenology	evergreen	categorical	experience	NESpain	W	NA
E04308	Asteraceae	Staehelina dubia	LeafPhenology	evergreen	categorical	general reference	Valdes1987	W	NA
E01717	Asteraceae	Staehelina dubia	LeafShape	linear	categorical	experience	NESpain	W	NA
E04347	Asteraceae	Staehelina dubia	LeafShape	broad	categorical	general reference	Valdes1987	W	NA
E04402	Asteraceae	Staehelina dubia	LeafSize	medium	semi-quantitative	measure	Cuenca	W	NA
E04568	Asteraceae	Staehelina dubia	Propagule	fruit	categorical	general reference	Castroviejo1986	W	NA
E01748	Asteraceae	Staehelina dubia	RespClip	high	semi-quantitative	measure	Palacio2007a	W	NA
E01735	Asteraceae	Staehelina dubia	RespFire	yes	categorical	compilation	VillarSalvador2000	W	NA
E01734	Asteraceae	Staehelina dubia	RespFire	yes	categorical	compilation	GuerreroCampo1998	W	NA
C07627	Asteraceae	Staehelina dubia	RespFire	no	categorical	measure	Luna2007a	W	NA
E01623	Asteraceae	Staehelina dubia	RootDepth	0.4	quantitative	measure	NESpain	W	NA
C08074	Asteraceae	Staehelina dubia	RootDepth	0.47	quantitative	measure	GuerreroCampo2006	W	NA
E04665	Asteraceae	Staehelina dubia	SeedBank	soil	categorical	experience	Cuenca	W	NA
E05241	Asteraceae	Staehelina dubia	SeedBankLong	persistent/unk	semi-quantitative conditional	experience	Cuenca	W	NA
E04682	Asteraceae	Staehelina dubia	SeedlEmerg	yes	categorical	measure	Cuenca	W	NA
E04799	Asteraceae	Staehelina dubia	SeedMass	2.43	quantitative	measure	Cuenca	W	NA
C03011	Asteraceae	Taraxacum officinale	DispMode	anemochory	categorical	compilation	Valbuena2001	W	NA
C05540	Asteraceae	Taraxacum officinale	DispMode	anemochory	categorical	compilation	Trabaud1992	U	NA
R00258	Asteraceae	Taraxacum officinale	RespFire	no	categorical	experience	Trabaud1992	W	NA
C02802	Asteraceae	Taraxacum officinale	RespFire	no	categorical	compilation	Valbuena2001	W	NA
R03026	Asteraceae	Taraxacum officinale	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
C02832	Asteraceae	Taraxacum officinale	SeedlEmerg	yes	categorical	compilation	Valbuena2001	W	NA
C05532	Asteraceae	Tragopogon porrifolius ssp. australis	DispMode	anemochory	categorical	compilation	Trabaud1992	U	NA
C05355	Asteraceae	Tragopogon porrifolius ssp. australis	DispMode	anemochory	categorical	compilation	Kazanis2004a	E	NA
R00657	Asteraceae	Tragopogon porrifolius ssp. australis	RespFire	yes	categorical	compilation	Kazanis2004a	E	NA
R00250	Asteraceae	Tragopogon porrifolius ssp. australis	RespFire	no	categorical	experience	Trabaud1992	W	NA
R03362	Asteraceae	Tragopogon porrifolius ssp. australis	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	NA
R03018	Asteraceae	Tragopogon porrifolius ssp. australis	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
E00357	Asteraceae	Urospermum picroides	FruitType	dry	categorical	experience	Murcia	W	NA
E00358	Asteraceae	Urospermum picroides	Height	0.1	quantitative	measure	Murcia	W	NA
E00360	Asteraceae	Urospermum picroides	LeafShape	broad	categorical	experience	Murcia	W	NA
E00362	Asteraceae	Urospermum picroides	Propagule	seed	categorical	experience	Murcia	W	NA
C06923	Asteraceae	Urospermum picroides	RespFire	no	categorical	compilation	Arianoutsou2000	M	NA
R00308	Asteraceae	Urospermum picroides	RespFire	no	categorical	measure	Buhk2005a	W	NA
E00364	Asteraceae	Urospermum picroides	SeedlEmerg	high	semi-quantitative	measure	Murcia	W	795
C07033	Asteraceae	Urospermum picroides	SeedlEmerg	yes	categorical	compilation	Arianoutsou2000	M	NA
R03076	Asteraceae	Urospermum picroides	SeedlEmerg	yes	categorical	measure	Buhk2005a	W	795
E05431	Asteraceae	Xeranthemum annuum	RespFire	no	categorical	experience	Marmaris	M	NA
C04128	Betulaceae	Betula pendula	DispMode	anemochory	categorical	experience	Reyes1997a	W	541
C03103	Betulaceae	Betula pendula	DispMode	anemochory	categorical	compilation	Reyes1998	W	541
C04130	Betulaceae	Betula pendula	FruitType	dry	categorical	general reference	Tutin1964	U	NA
S00165	Betulaceae	Betula pendula	HeatStimGerm	unaffected/_M_	semi-quantitative conditional	measure	Reyes1997a	W	NA
S00166	Betulaceae	Betula pendula	HeatStimGerm	unaffected/LM_	semi-quantitative conditional	measure	Reyes1998	W	NA
C04133	Betulaceae	Betula pendula	Height	18.66666667	quantitative	measure	Reyes1997a	W	NA
C04134	Betulaceae	Betula pendula	MatSap	5	quantitative	compilation	Reyes1997a	W	NA
S00291	Betulaceae	Betula pendula	OtherCues	unaffected/ash	semi-quantitative conditional	measure	Reyes1997a	W	NA
C05032	Betulaceae	Betula pendula	Propagule	fruit	categorical	compilation	Reyes1997a	W	NA
C03111	Betulaceae	Betula pendula	RespFire	yes	categorical	compilation	Reyes1998	W	542
C03094	Betulaceae	Betula pendula	SeedMass	0.17	quantitative	compilation	Reyes1998	W	NA
C07499	Betulaceae	Betula pendula var. pendula	DispMode	anemochory	categorical	experience	Debussche1980	W	NA
C07559	Betulaceae	Betula pendula var. pendula	Propagule	seed	categorical	experience	Debussche1980	W	NA
R00665	Boraginaceae	Alkanna tinctoria	RespFire	yes	categorical	compilation	Kazanis2004a	E	NA
C06181	Boraginaceae	Alkanna tinctoria	SeedBank	soil	categorical	compilation	Kazanis2004a	E	NA
C06267	Boraginaceae	Alkanna tinctoria	SeedBankLong	persistent/unk	semi-quantitative conditional	compilation	Kazanis2004a	E	NA
R03370	Boraginaceae	Alkanna tinctoria	SeedlEmerg	yes	categorical	compilation	Kazanis2004a	E	NA
R00761	Boraginaceae	Anchusa variegata	RespFire	no	categorical	compilation	Kazanis2004a	E	NA
R03466	Boraginaceae	Anchusa variegata	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	NA
C07889	Boraginaceae	Echium plantagineum	Height	0.017	quantitative	measure	FdezAles1993	W	NA
E05433	Boraginaceae	Echium plantagineum	RespFire	no	categorical	experience	Turkmen2005	M	NA
C01837	Boraginaceae	Echium plantagineum	SeedBankLong	transient/veg	semi-quantitative conditional	measure	DiazVilla2003	W	NA
E05435	Boraginaceae	Echium plantagineum	SeedlEmerg	yes	categorical	experience	Turkmen2005	M	NA
C07847	Boraginaceae	Echium plantagineum	SeedMass	2.74	quantitative	measure	FdezAles1993	W	NA
C02102	Boraginaceae	Echium vulgare	SeedBankLong	transient/unk	semi-quantitative conditional	compilation	Cerabolini2003	C	NA
C01952	Boraginaceae	Echium vulgare	SeedMass	2.46	quantitative	measure	Cerabolini2003	C	NA
C05519	Boraginaceae	Echium vulgare ssp. pustulatum	DispMode	autochory	categorical	compilation	Trabaud1992	U	NA
R00237	Boraginaceae	Echium vulgare ssp. pustulatum	RespFire	no	categorical	experience	Trabaud1992	W	NA
R03005	Boraginaceae	Echium vulgare ssp. pustulatum	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
C02933	Boraginaceae	Heliotropium europaeum	DispMode	autochory	categorical	compilation	Valbuena2001	W	NA
C02934	Boraginaceae	Heliotropium europaeum	DispMode	hydrochory	categorical	compilation	Valbuena2001	W	NA
C02478	Boraginaceae	Heliotropium europaeum	RespFire	no	categorical	compilation	Valbuena2001	W	NA
C02528	Boraginaceae	Heliotropium europaeum	SeedlEmerg	yes	categorical	compilation	Valbuena2001	W	NA
E05436	Boraginaceae	Heliotropium hirsutissimum	RespFire	no	categorical	experience	Marmaris	M	NA
C02966	Boraginaceae	Lithodora diffusa	DispMode	hydrochory	categorical	compilation	Valbuena2001	W	NA
C02506	Boraginaceae	Lithodora diffusa	RespFire	yes	categorical	compilation	Valbuena2001	W	NA
C02577	Boraginaceae	Lithodora diffusa	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Valbuena2001	W	NA
C02556	Boraginaceae	Lithodora diffusa	SeedlEmerg	no	categorical	compilation	Valbuena2001	W	NA
C05676	Boraginaceae	Lithodora fruticosa	BudSource	root crown	categorical	experience	Valencia	W	NA
E01759	Boraginaceae	Lithodora fruticosa	BudSource	rhizomes or roots	categorical	experience	GuerreroCampo2006	W	NA
E01781	Boraginaceae	Lithodora fruticosa	FruitType	dry	categorical	experience	NESpain	W	NA
E00366	Boraginaceae	Lithodora fruticosa	FruitType	dry	categorical	experience	Murcia	W	NA
E00367	Boraginaceae	Lithodora fruticosa	Height	0.4	quantitative	measure	Murcia	W	NA
E01609	Boraginaceae	Lithodora fruticosa	Height	0.5	quantitative	measure	NESpain	W	NA
C00293	Boraginaceae	Lithodora fruticosa	Height	0.65	quantitative	measure	Valencia	W	NA
E01683	Boraginaceae	Lithodora fruticosa	LeafPhenology	evergreen	categorical	experience	NESpain	W	NA
E00369	Boraginaceae	Lithodora fruticosa	LeafPhenology	evergreen	categorical	experience	Murcia	W	NA
E01723	Boraginaceae	Lithodora fruticosa	LeafShape	linear	categorical	experience	NESpain	W	NA
E00370	Boraginaceae	Lithodora fruticosa	LeafShape	linear	categorical	experience	Murcia	W	NA
C04959	Boraginaceae	Lithodora fruticosa	RespClip	yes	categorical	measure	Valencia	W	NA
R01258	Boraginaceae	Lithodora fruticosa	RespFire	no	categorical	compilation	Lloret2003	W	NA
C05075	Boraginaceae	Lithodora fruticosa	RespFire	yes	categorical	measure	Casals2005	W	NA
R00309	Boraginaceae	Lithodora fruticosa	RespFire	yes	categorical	measure	Buhk2005a	W	NA
E01742	Boraginaceae	Lithodora fruticosa	RespFire	yes	categorical	compilation	GuerreroCampo1998	W	NA
C01642	Boraginaceae	Lithodora fruticosa	RespFire	yes	categorical	measure	Valencia	W	NA
C08049	Boraginaceae	Lithodora fruticosa	RootDepth	0.68	quantitative	measure	GuerreroCampo2006	W	NA
C02648	Boraginaceae	Lithodora fruticosa	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Buhk2005b	W	NA
C05097	Boraginaceae	Lithodora fruticosa	SeedlEmerg	yes	categorical	measure	Casals2005	W	NA
E00373	Boraginaceae	Lithodora fruticosa	SeedlEmerg	no	semi-quantitative	measure	Murcia	W	759
R03889	Boraginaceae	Lithodora fruticosa	SeedlEmerg	yes	categorical	compilation	Lloret2003	W	NA
R03077	Boraginaceae	Lithodora fruticosa	SeedlEmerg	no	categorical	measure	Buhk2005a	W	759
C10762	Boraginaceae	Lithodora fruticosa	SeedMass	8.66	quantitative	measure	Pausas2008	W	NA
E05438	Boraginaceae	Lithodora hispidula	RespFire	yes	categorical	experience	Turkmen2005	M	NA
R00102	Boraginaceae	Lithodora prostrata	RespFire	yes	categorical	measure	Iglesia1998	W	NA
R02905	Boraginaceae	Lithodora prostrata	SeedlEmerg	yes	categorical	measure	Iglesia1998	W	NA
E02367	Boraginaceae	Lithodora prostrata ssp. lusitanica	BudSource	rhizomes or roots	categorical	experience	Gibraltar	W	NA
E02368	Boraginaceae	Lithodora prostrata ssp. lusitanica	MatSap	early	semi-quantitative	experience	Gibraltar	W	NA
R00090	Boraginaceae	Lithodora prostrata ssp. lusitanica	RespFire	yes	categorical	measure	Ojeda1996b	W	99
E02366	Boraginaceae	Lithodora prostrata ssp. lusitanica	RespFire	low	semi-quantitative	experience	Gibraltar	W	99
C04515	Boraginaceae	Lithodora prostrata ssp. lusitanica	RespFire	yes	categorical	compilation	Andres2002	W	99
E02445	Boraginaceae	Lithodora prostrata ssp. lusitanica	SeedlEmerg	yes	categorical	measure	Ojeda1995	W-S	NA
R00678	Brassicaceae	Aethionema saxatile	RespFire	no	categorical	compilation	Kazanis2004a	E	NA
C04531	Brassicaceae	Aethionema saxatile	RespFire	no	categorical	measure	Thanos1996	E	NA
C06194	Brassicaceae	Aethionema saxatile	SeedBank	soil	categorical	compilation	Kazanis2004a	E	NA
C06280	Brassicaceae	Aethionema saxatile	SeedBankLong	persistent/unk	semi-quantitative conditional	compilation	Kazanis2004a	E	NA
C04532	Brassicaceae	Aethionema saxatile	SeedlEmerg	yes	categorical	measure	Thanos1996	E	NA
R03383	Brassicaceae	Aethionema saxatile	SeedlEmerg	yes	categorical	compilation	Kazanis2004a	E	NA
C05515	Brassicaceae	Alyssum alyssoides	DispMode	hydrochory	categorical	compilation	Trabaud1992	U	NA
R00233	Brassicaceae	Alyssum alyssoides	RespFire	no	categorical	experience	Trabaud1992	W	NA
C02777	Brassicaceae	Alyssum alyssoides	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Calvo1999	W	NA
R03001	Brassicaceae	Alyssum alyssoides	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
E05439	Brassicaceae	Alyssum caricum	RespFire	no	categorical	experience	Marmaris	M	NA
E05441	Brassicaceae	Alyssum corsicum	RespFire	no	categorical	experience	Marmaris	M	NA
C02926	Brassicaceae	Arabidopsis thaliana	DispMode	autochory	categorical	compilation	Valbuena2001	W	NA
C02471	Brassicaceae	Arabidopsis thaliana	RespFire	no	categorical	compilation	Valbuena2001	W	NA
C07366	Brassicaceae	Arabidopsis thaliana	RespFire	no	categorical	experience	Alberdi2002	W	NA
C02521	Brassicaceae	Arabidopsis thaliana	SeedlEmerg	yes	categorical	compilation	Valbuena2001	W	NA
C07456	Brassicaceae	Arabidopsis thaliana	SeedlEmerg	yes	categorical	experience	Alberdi2002	W	NA
C02988	Brassicaceae	Arabis hirsuta	DispMode	autochory	categorical	compilation	Valbuena2001	W	NA
C08862	Brassicaceae	Arabis hirsuta	DispMode	autochory	categorical	compilation	Valbuena1995	U	NA
C02781	Brassicaceae	Arabis hirsuta	RespFire	no	categorical	compilation	Valbuena2001	W	NA
C02246	Brassicaceae	Arabis hirsuta	SeedBank	soil	categorical	compilation	Cerabolini2003	C	NA
C02291	Brassicaceae	Arabis hirsuta	SeedBankLong	short-persistent/unk	semi-quantitative conditional	compilation	Cerabolini2003	C	NA
C02811	Brassicaceae	Arabis hirsuta	SeedlEmerg	yes	categorical	compilation	Valbuena2001	W	NA
C08879	Brassicaceae	Arabis hirsuta	SeedlEmerg	no	categorical	measure	Valbuena1995	W	NA
C02201	Brassicaceae	Arabis hirsuta	SeedMass	0.03	quantitative	measure	Cerabolini2003	C	NA
E03589	Brassicaceae	Biscutella didyma	DispMode	autochory	categorical	compilation	Kazanis2005	E	NA
E03590	Brassicaceae	Biscutella didyma	FruitType	dry	categorical	general reference	Strid1997	E	NA
E03591	Brassicaceae	Biscutella didyma	Height	0.4	quantitative	general reference	Strid1997	E	NA
E03593	Brassicaceae	Biscutella didyma	LeafSize	very small	semi-quantitative	experience	Attica	E	NA
E03596	Brassicaceae	Biscutella didyma	Propagule	fruit	categorical	experience	Attica	E	NA
R00765	Brassicaceae	Biscutella didyma	RespFire	no	categorical	compilation	Kazanis2004a	E	191
C06707	Brassicaceae	Biscutella didyma	RespFire	no	categorical	compilation	Arianoutsou2000	E	191
C06874	Brassicaceae	Biscutella didyma	RespFire	no	categorical	compilation	Arianoutsou2000	M	NA
E03597	Brassicaceae	Biscutella didyma	RespFire	no	semi-quantitative	compilation	Kazanis2005	E	191
E03598	Brassicaceae	Biscutella didyma	SeedBank	soil	categorical	compilation	Kazanis2005	E	NA
E05225	Brassicaceae	Biscutella didyma	SeedBankLong	persistent/unk	semi-quantitative conditional	compilation	Kazanis2005	E	NA
E03599	Brassicaceae	Biscutella didyma	SeedlEmerg	high	semi-quantitative	compilation	Kazanis2005	E	498
C06984	Brassicaceae	Biscutella didyma	SeedlEmerg	yes	categorical	compilation	Arianoutsou2000	M	NA
R03470	Brassicaceae	Biscutella didyma	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	NA
C06785	Brassicaceae	Biscutella didyma	SeedlEmerg	yes	categorical	compilation	Arianoutsou2000	E	498
C05460	Brassicaceae	Biscutella laevigata	DispMode	autochory	categorical	compilation	Trabaud1992	U	NA
C06644	Brassicaceae	Biscutella laevigata	MatSap	early	semi-quantitative	measure	Trabaud1985b	W	NA
R00178	Brassicaceae	Biscutella laevigata	RespFire	no	categorical	experience	Trabaud1992	W	NA
R00041	Brassicaceae	Biscutella laevigata	RespFire	no	categorical	measure	Papio1988	W	NA
C02070	Brassicaceae	Biscutella laevigata	SeedBankLong	transient/unk	semi-quantitative conditional	compilation	Cerabolini2003	C	NA
R02946	Brassicaceae	Biscutella laevigata	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
R02848	Brassicaceae	Biscutella laevigata	SeedlEmerg	yes	categorical	measure	Papio1988	W	NA
C01920	Brassicaceae	Biscutella laevigata	SeedMass	5.6	quantitative	measure	Cerabolini2003	C	NA
R00310	Brassicaceae	Brassica tournefortii	RespFire	no	categorical	measure	Buhk2005a	W	NA
R03078	Brassicaceae	Brassica tournefortii	SeedlEmerg	yes	categorical	measure	Buhk2005a	W	NA
E05443	Brassicaceae	Capparis spinosa var. spinosa	RespFire	yes	categorical	experience	Turkmen2005	M	NA
E03603	Brassicaceae	Capsella bursa-pastoris	DispMode	autochory	categorical	compilation	Kazanis2005	E	NA
E03604	Brassicaceae	Capsella bursa-pastoris	FruitType	dry	categorical	general reference	Strid1997	E	NA
E03605	Brassicaceae	Capsella bursa-pastoris	Height	0.4	quantitative	general reference	Strid1997	E	NA
E03607	Brassicaceae	Capsella bursa-pastoris	LeafSize	very small	semi-quantitative	experience	Attica	E	NA
E03610	Brassicaceae	Capsella bursa-pastoris	Propagule	fruit	categorical	experience	Attica	E	NA
E03611	Brassicaceae	Capsella bursa-pastoris	RespFire	no	semi-quantitative	compilation	Kazanis2005	E	194
R00766	Brassicaceae	Capsella bursa-pastoris	RespFire	no	categorical	compilation	Kazanis2004a	E	194
E03612	Brassicaceae	Capsella bursa-pastoris	SeedBank	soil	categorical	compilation	Kazanis2005	E	NA
E05226	Brassicaceae	Capsella bursa-pastoris	SeedBankLong	persistent/unk	semi-quantitative conditional	compilation	Kazanis2005	E	NA
C01824	Brassicaceae	Capsella bursa-pastoris	SeedBankLong	transient/veg	semi-quantitative conditional	measure	DiazVilla2003	W	NA
E03613	Brassicaceae	Capsella bursa-pastoris	SeedlEmerg	high	semi-quantitative	compilation	Kazanis2005	E	NA
R03471	Brassicaceae	Capsella bursa-pastoris	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	NA
C08374	Brassicaceae	Capsella bursa-pastoris	SeedMass	0.07	quantitative	measure	Azcarate2002	W	NA
C07351	Brassicaceae	Cardamine hirsuta	RespFire	no	categorical	experience	Alberdi2002	W	NA
R00105	Brassicaceae	Cardamine hirsuta	RespFire	no	categorical	measure	Iglesia1998	W	NA
C01825	Brassicaceae	Cardamine hirsuta	SeedBankLong	transient/veg	semi-quantitative conditional	measure	DiazVilla2003	W	NA
R02908	Brassicaceae	Cardamine hirsuta	SeedlEmerg	yes	categorical	measure	Iglesia1998	W	NA
C07441	Brassicaceae	Cardamine hirsuta	SeedlEmerg	yes	categorical	experience	Alberdi2002	W	NA
C08861	Brassicaceae	Cardamine pratensis	DispMode	autochory	categorical	compilation	Valbuena1995	U	NA
C02989	Brassicaceae	Cardamine pratensis	DispMode	autochory	categorical	compilation	Valbuena2001	W	NA
C02782	Brassicaceae	Cardamine pratensis	RespFire	yes	categorical	compilation	Valbuena2001	W	NA
C02812	Brassicaceae	Cardamine pratensis	SeedlEmerg	no	categorical	compilation	Valbuena2001	W	NA
R00688	Brassicaceae	Cardaria draba	RespFire	no	categorical	compilation	Kazanis2004a	E	NA
R03393	Brassicaceae	Cardaria draba	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	NA
E00375	Brassicaceae	Carrichtera annua	FruitType	dry	categorical	experience	Murcia	W	NA
E00376	Brassicaceae	Carrichtera annua	Height	0.2	quantitative	measure	Murcia	W	NA
E00378	Brassicaceae	Carrichtera annua	LeafShape	linear	categorical	experience	Murcia	W	NA
E00380	Brassicaceae	Carrichtera annua	Propagule	seed	categorical	experience	Murcia	W	NA
R00311	Brassicaceae	Carrichtera annua	RespFire	no	categorical	measure	Buhk2005a	W	NA
C02609	Brassicaceae	Carrichtera annua	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Buhk2005b	W	NA
R03079	Brassicaceae	Carrichtera annua	SeedlEmerg	yes	categorical	measure	Buhk2005a	W	722
E00382	Brassicaceae	Carrichtera annua	SeedlEmerg	high	semi-quantitative	measure	Murcia	W	722
C04535	Brassicaceae	Clypeola jonthlaspi	RespFire	no	categorical	measure	Thanos1996	E	NA
R00767	Brassicaceae	Clypeola jonthlaspi	RespFire	no	categorical	compilation	Kazanis2004a	E	NA
C04536	Brassicaceae	Clypeola jonthlaspi	SeedlEmerg	yes	categorical	measure	Thanos1996	E	NA
R03472	Brassicaceae	Clypeola jonthlaspi	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	NA
C01375	Brassicaceae	Diplotaxis erucoides	FruitType	dry	categorical	experience	Valencia	W	NA
C00287	Brassicaceae	Diplotaxis erucoides	Height	0.5	quantitative	general reference	Mateo1990	W	NA
C00835	Brassicaceae	Diplotaxis erucoides	LeafShape	broad	categorical	experience	Valencia	W	NA
C00930	Brassicaceae	Diplotaxis erucoides	LeafSize	medium	semi-quantitative	experience	Valencia	W	NA
C01466	Brassicaceae	Diplotaxis erucoides	Propagule	seed	categorical	experience	Valencia	W	NA
R01014	Brassicaceae	Diplotaxis erucoides	RespFire	no	categorical	measure	Abad1996	W	NA
R03713	Brassicaceae	Diplotaxis erucoides	SeedlEmerg	yes	categorical	measure	Abad1996	W	NA
C01221	Brassicaceae	Diplotaxis erucoides	SeedMass	very light	semi-quantitative	experience	Valencia	W	NA
E00384	Brassicaceae	Diplotaxis harra	FruitType	dry	categorical	experience	Murcia	W	NA
E00385	Brassicaceae	Diplotaxis harra	Height	0.4	quantitative	measure	Murcia	W	NA
E00387	Brassicaceae	Diplotaxis harra	LeafShape	linear	categorical	experience	Murcia	W	NA
E00389	Brassicaceae	Diplotaxis harra	Propagule	seed	categorical	experience	Murcia	W	NA
R00312	Brassicaceae	Diplotaxis harra	RespFire	no	categorical	measure	Buhk2005a	W	NA
C02625	Brassicaceae	Diplotaxis harra	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Buhk2005b	W	NA
E00392	Brassicaceae	Diplotaxis harra	SeedlEmerg	high	semi-quantitative	measure	Murcia	W	735
R03080	Brassicaceae	Diplotaxis harra	SeedlEmerg	yes	categorical	measure	Buhk2005a	W	735
C02990	Brassicaceae	Erophila verna	DispMode	autochory	categorical	compilation	Valbuena2001	W	NA
C05518	Brassicaceae	Erophila verna	DispMode	autochory	categorical	compilation	Trabaud1992	U	NA
E00422	Brassicaceae	Erophila verna	FruitType	dry	categorical	experience	Murcia	W	NA
E00423	Brassicaceae	Erophila verna	Height	0.1	quantitative	measure	Murcia	W	NA
E00425	Brassicaceae	Erophila verna	LeafShape	broad	categorical	experience	Murcia	W	NA
E00427	Brassicaceae	Erophila verna	Propagule	seed	categorical	experience	Murcia	W	NA
R00316	Brassicaceae	Erophila verna	RespFire	no	categorical	measure	Buhk2005a	W	NA
R00236	Brassicaceae	Erophila verna	RespFire	no	categorical	experience	Trabaud1992	W	NA
C04537	Brassicaceae	Erophila verna	RespFire	no	categorical	measure	Thanos1996	E	NA
C02783	Brassicaceae	Erophila verna	RespFire	no	categorical	compilation	Valbuena2001	W	NA
E00429	Brassicaceae	Erophila verna	SeedlEmerg	high	semi-quantitative	measure	Murcia	W	738
C03437	Brassicaceae	Erophila verna	SeedlEmerg	yes	categorical	measure	Ferrandis1996a	W	NA
C02813	Brassicaceae	Erophila verna	SeedlEmerg	yes	categorical	compilation	Valbuena2001	W	NA
R03004	Brassicaceae	Erophila verna	SeedlEmerg	yes	categorical	experience	Trabaud1992	W	NA
C04538	Brassicaceae	Erophila verna	SeedlEmerg	yes	categorical	measure	Thanos1996	E	NA
R03084	Brassicaceae	Erophila verna	SeedlEmerg	yes	categorical	measure	Buhk2005a	W	738
E03433	Brassicaceae	Eruca vesicaria	DispMode	autochory	categorical	compilation	Kazanis2005	E	NA
E03434	Brassicaceae	Eruca vesicaria	FruitType	dry	categorical	general reference	Strid1997	E	NA
E03435	Brassicaceae	Eruca vesicaria	Height	0.5	quantitative	general reference	Strid1997	E	NA
E03437	Brassicaceae	Eruca vesicaria	LeafSize	medium	semi-quantitative	experience	Attica	E	NA
E03440	Brassicaceae	Eruca vesicaria	Propagule	seed	categorical	experience	Attica	E	NA
R00740	Brassicaceae	Eruca vesicaria	RespFire	no	categorical	compilation	Kazanis2004a	E	203
