ID	Family	taxa	Trait	Data	DataType	Method	Source	Region2	Redundancy
C03075	Anacardiaceae	Pistacia lentiscus	Height	03-Apr	semi-quantitative	experience	GciaFayos1998	W	NA
C04842	Anacardiaceae	Pistacia lentiscus	Height	1.66	quantitative	compilation	Moravec1990	S	NA
E00256	Anacardiaceae	Pistacia lentiscus	Height	1.5	quantitative	measure	Murcia	W	NA
C00541	Anacardiaceae	Pistacia lentiscus	LeafPhenology	evergreen	categorical	experience	Valencia	W	NA
E00258	Anacardiaceae	Pistacia lentiscus	LeafPhenology	evergreen	categorical	experience	Murcia	W	NA
E02545	Anacardiaceae	Pistacia lentiscus	LeafPhenology	evergreen	categorical	general reference	Tutin1964	U	NA
E00259	Anacardiaceae	Pistacia lentiscus	LeafShape	linear	categorical	experience	Murcia	W	NA
E02546	Anacardiaceae	Pistacia lentiscus	LeafShape	broad	categorical	experience	Attica	E	NA
C00770	Anacardiaceae	Pistacia lentiscus	LeafShape	broad	categorical	experience	Valencia	W	NA
E02547	Anacardiaceae	Pistacia lentiscus	LeafSize	medium	semi-quantitative	experience	Attica	E	NA
C00865	Anacardiaceae	Pistacia lentiscus	LeafSize	1258.7	quantitative	measure	Valencia	W	NA
S00353	Anacardiaceae	Pistacia lentiscus	OtherCues	unaffected/cha	semi-quantitative conditional	measure	Salvador1995	W	NA
C01405	Anacardiaceae	Pistacia lentiscus	Propagule	fruit	categorical	compilation	Verdu2002	U	NA
E02550	Anacardiaceae	Pistacia lentiscus	Propagule	fruit	categorical	experience	Attica	E	NA
E00261	Anacardiaceae	Pistacia lentiscus	Propagule	fruit	categorical	experience	Murcia	W	NA
E02551	Anacardiaceae	Pistacia lentiscus	RespClip	yes	categorical	experience	Attica	E	NA
R01391	Anacardiaceae	Pistacia lentiscus	RespClip	yes	categorical	general reference	GciaFayos2001	W	NA
C04962	Anacardiaceae	Pistacia lentiscus	RespClip	high	semi-quantitative	measure	Valencia	W	NA
R01129	Anacardiaceae	Pistacia lentiscus	RespDist	yes	categorical	experience	Herrera1987a	W	538
P00149	Anacardiaceae	Pistacia lentiscus	RespDist	yes	categorical	compilation	Buhk2007	U	NA
R01175	Anacardiaceae	Pistacia lentiscus	RespDist	yes	categorical	compilation	Gallego2004	W	538
R00409	Anacardiaceae	Pistacia lentiscus	RespDist	yes	categorical	compilation	Arroyo1990	W	538
E02355	Anacardiaceae	Pistacia lentiscus	RespFire	high	semi-quantitative	experience	Gibraltar	W	103
E05398	Anacardiaceae	Pistacia lentiscus	RespFire	high	semi-quantitative	experience	Marmaris	M	NA
P00148	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Catry2007	W	NA
